"FullName",Nome Parlamentar-Partido-UF
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image1_6.jpeg",Diego Andrade-PSD-MG
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image1_7.jpeg",Diego Garcia-REPUBLICANOS-PR
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image1_8.jpeg",Dimas Fabiano-PP-MG
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image1_9.jpeg",Domingos Neto-PSD-CE
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image20_1.jpeg",Domingos Sávio-PL-MG
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image20_10.jpeg",Dr. Frederico-PATRIOTA-MG
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image20_11.jpeg",Dr. Jaziel-PL-CE
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image20_12.jpeg",Dr. Leonardo-REPUBLICANOS-MT
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image20_2.jpeg",Dr. Luiz Antonio Teixeira Jr.-PP-RJ
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image20_3.jpeg",Dr. Luiz Ovando-PP-MS
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image20_4.jpeg",Dr. Zacharias Calil-UNIÃO-GO
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image20_5.jpeg",Dra. Soraya Manato-PTB-ES
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image20_6.jpeg",Dra. Vanda Milani-SOLIDARIEDADE-AC
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image20_7.jpeg",Dulce Miranda-MDB-TO
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image20_8.jpeg",Edilázio Júnior-PSD-MA
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image20_9.jpeg",Edio Lopes-PL-RR
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image21_1.jpeg",Eduardo Barbosa-PSDB-MG
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image21_10.jpeg",Eduardo Bismarck-PDT-CE
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image21_11.jpeg",Eduardo Bolsonaro-PL-SP
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image21_12.jpeg",Eduardo Costa-PSD-PA
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image21_2.jpeg",Eduardo Cury-PSDB-SP
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image21_3.jpeg",Eduardo da Fonte-PP-PE
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image21_4.jpeg",Efraim Filho-UNIÃO-PB
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image21_5.jpeg",Elcione Barbalho-MDB-PA
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image21_6.jpeg",Eli Borges-SOLIDARIEDADE-TO
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image21_7.jpeg",Eli Corrêa Filho-UNIÃO-SP
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image21_8.jpeg",Elias Vaz-PSB-GO
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image21_9.jpeg",Elmar Nascimento-UNIÃO-BA
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image22_1.jpeg",Emanuel Pinheiro Neto-MDB-MT
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image22_10.jpeg",Emidinho Madeira-PL-MG
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image22_11.jpeg",Enio Verri-PT-PR
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image22_12.jpeg",Enrico Misasi-MDB-SP
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image22_2.jpeg",Erika Kokay-PT-DF
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image22_3.jpeg",Eros Biondini-PL-MG
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image22_4.jpeg",Euclydes Pettersen-PSC-MG
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image22_5.jpeg",Evair Vieira de Melo-PP-ES
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image22_6.jpeg",Expedito Netto-PSD-RO
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image22_7.jpeg",Fábio Henrique-UNIÃO-SE
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image22_8.jpeg",Fábio Mitidieri-PSD-SE
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image22_9.jpeg",Fábio Ramalho-MDB-MG
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image23_1.jpeg",Fabio Reis-PSD-SE
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image23_10.jpeg",Fabio Schiochet-UNIÃO-SC
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image23_11.jpeg",Fábio Trad-PSD-MS
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image23_12.jpeg",Fausto Pinato-PP-SP
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image23_2.jpeg",Felício Laterça-PP-RJ
"C:\Users\carlo\Desktop\Repositorios-VScode\Projeto-Legislativo\scrap-pdf\banco-fotos\image23_3.jpeg",Felipe Carreras-PSB-PE
